name,opening_hours,amenity,tourism,shop,healthcare,leisure,sport,craft,building,geometry
Benelux,Sa-We 14:00-03:00; Th-Fr 11:00-03:00,pub,,,,,,,,POINT (-73.5710337 45.5096479)
Laprentania Florists,Mo-Tu 09:00-18:00;We-Fr 09:00-21:00; Sa 10:00-17:00; Su 11:00-17:00,,,florist,,,,,,POINT (-73.5713052 45.5036883)
Provigo,Mo-Su 08:00-23:00,,,supermarket,,,,,,POINT (-73.5873034 45.5541285)
Kasa Sushi,10:00-22:00,restaurant,,,,,,,,POINT (-73.57117390000001 45.5362786)
Rona Le Quincailler,"Mo-We 08:00-18:00,Th-Fr 08:00-21:00;Sa 08:00-17:00;Su 09:00-17:00",,,doityourself,,,,,,POINT (-73.57178500000001 45.535601)
,6:00-22:00,,,,,,,,,POINT (-73.51588940000001 45.4924645)
La boîte à clous,"Su 10:00-17:00; Mo-We 09:00-18:00; Th, Fr 09:00-21:00; Sa 09:00-17:00",,,hardware,,,,,,POINT (-73.6036 45.5355)
Farine et Vanille,Mo-Sa 08:00-18:00,,,bakery,,,,,,POINT (-73.59470210000001 45.5189557)
Post,Mo-Fr 07:30-19:00;Sa 10:00-17:00;Su 11:00-17:00,post_office,,,,,,,,POINT (-73.5712327 45.5036544)
The Flat Bike Collective,Mo-Th 17:00-20:00; We off,,,bicycle,,,,,,POINT (-73.57797669999999 45.5034862)
Right to Move,Mo-Fr 18:00-21:00,,,bicycle,,,,,,POINT (-73.57938129999999 45.4976361)
The Home Depot,Mo-Fr 08:00-21:00;Sa-Su 08:00-17:00,,,doityourself,,,,,,POINT (-73.593732 45.4766352)
Veux-tu une Bière?,Mo-Su 09:00-23:00,,,alcohol,,,,,,POINT (-73.6354729 45.5440055)
Fairmount Bagel,24/7,,,bakery,,,,,,POINT (-73.59521100000001 45.5228884)
McDonald's,24/7,fast_food,,,,,,,,POINT (-73.5843449 45.5744219)
Wok du chef,Su-We 11:30-22:00; Th-Sa 11:30-23:00,restaurant,,,,,,,,POINT (-73.5782696 45.5287569)
Starbucks,Su 07:00-22:30; Mo-We 06:00-22:30; Th-Fr 06:00-23:00; Sa 07:00-23:00,cafe,,,,,,,,POINT (-73.5744759 45.4832514)
L'Gros Luxe,Lun-mer 17 h -23 h; jeu-vend 11 h 30 - 24 h; sam 11 h - 24 h; dim 11 h -23 h,restaurant,,,,,,,,POINT (-73.5748574 45.4830314)
lili & oli,Sa-Su 08:00-20:00; Mo-Th 07:00-22:00; Fr 07:00-20:00,cafe,,,,,,,,POINT (-73.5755161 45.4828717)
Dépanneur Bierre & Vin,Mo-Su 11:00-11:00,,,convenience,,,,,,POINT (-73.58343259999999 45.5196035)
Pizza St-Viateur,Mo-We 11:00-22:00; Th-Fr 11:00-23:00; Sa-Su 16:00-22:00,restaurant,,,,,,,,POINT (-73.59927879999999 45.5255775)
Wilensky,Mo-Sa 09:00-16:00,fast_food,,,,,,,,POINT (-73.594796 45.5233347)
Chez Doval,Mo-Su 09:00-23:00,restaurant,,,,,,,,POINT (-73.582612 45.520502)
Chez Danny Pizza,Mo-Su 07:00-02:00,fast_food,,,,,,,,POINT (-73.580477 45.522688)
Familiprix Extra,Mo-Fr 09:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,pharmacy,,,,,,,,POINT (-73.7305815 45.6137172)
Presse-Café,Mo-Su 06:00-23:00,cafe,,,,,,,,POINT (-73.62239409999999 45.4961933)
Subway,Mo-Fr 07:00-22:00; Sa-Su 08:00-22:00,fast_food,,,,,,,,POINT (-73.6244667 45.4741507)
Lingerie Jeannine Julien,Tu-Fr 10:00-18:00; Sa 10:00-16:00,,,clothes,,,,,,POINT (-73.5990157 45.540345)
Boutique Point G,"Mo-Sa 10:00-19:00, Su 10:00-18:00",,,bakery,,,,,,POINT (-73.57763730000001 45.5294501)
BMO,"Mo,Tu,Fr 09:00-17:00, We,Th 09:00-19:00, Sa 09:00-16:00",bank,,,,,,,,POINT (-73.57930519999999 45.5281849)
Pizzeria Napoletana,Mo-Th 11:00-22:30; Fr-Sa 11:00-23:30; Su 12:00-22:30,restaurant,,,,,,,,POINT (-73.61270399999999 45.5343691)
Marché Royal Plus,Mo-Su 08:00-23:00,,,supermarket,,,,,,POINT (-73.609505 45.534206)
L. Villeneuve & cie (1973) ltée,Mo-Th 07:00-18:00; Fr 07:00-21:00; Sa 08:00-17:00; Su 09:00-17:00,,,hardware,,,,,,POINT (-73.6047521 45.5291291)
Marché des saveurs,Sa-We 09:00-18:00; Th-Fr 09:00-20:00,,,supermarket,,,,,,POINT (-73.6138708 45.5360889)
Maam Bolduc,Mo-Su 08:00-22:00,restaurant,,,,,,,,POINT (-73.5701588 45.5342993)
Dollarama,Mo-Fr 09:00-21:00; Sa-Su 09:00-17:00,,,variety_store,,,,,,POINT (-73.5440277 45.5448476)
Fruiterie du Plateau,Mo-Su 08:30-21:00,,,convenience,,,,,,POINT (-73.5714912 45.5206013)
,"""seasonal""",,,,,,,,,POINT (-73.57552339999999 45.4789796)
Lawrence,"Tu-Sa 17:30-23:00, Tu-Fr 11:30-15:00, Sa-Su 10:00-15:00",restaurant,,,,,,,,POINT (-73.59472239999999 45.5240807)
Allô! Mon Coco,Mo-Su 07:00-16:00,restaurant,,,,,,,,POINT (-73.58613219999999 45.5198493)
